%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 489605   16.262306770  -61.527537570   -23.0658   6  18   0.2982   0.5282   0.8299   0.0474   0.3508   0.2658   0.00    0.0
2281 489606   16.262306814  -61.527537479   -23.0736   6  17   0.2958   0.5254   0.8250   0.0457   0.3499   0.2644   0.00    0.0
2281 489607   16.262306838  -61.527537367   -23.0819   6  18   0.2934   0.5225   0.8202   0.0438   0.3490   0.2631   0.00    0.0
2281 489608   16.262306858  -61.527537276   -23.0886   6  18   0.2911   0.5197   0.8154   0.0420   0.3481   0.2618   0.00    0.0
2281 489609   16.262306846  -61.527537193   -23.1003   6  18   0.2888   0.5168   0.8107   0.0402   0.3471   0.2606   0.00    0.0
2281 489610   16.262306837  -61.527537165   -23.1095   6  18   0.2865   0.5141   0.8061   0.0385   0.3463   0.2593   0.00    0.0
2281 489611   16.262306823  -61.527537092   -23.1176   6  20   0.2842   0.5113   0.8015   0.0371   0.3453   0.2580   0.00    0.0
2281 489612   16.262306819  -61.527537035   -23.1202   6  20   0.2819   0.5084   0.7969   0.0357   0.3444   0.2567   0.00    0.0
2281 489613   16.262306814  -61.527536988   -23.1206   6  20   0.2797   0.5056   0.7924   0.0342   0.3435   0.2554   0.00    0.0
2281 489614   16.262306823  -61.527536954   -23.1281   6  19   0.2775   0.5030   0.7880   0.0329   0.3427   0.2541   0.00    0.0
2281 489615   16.262306828  -61.527536898   -23.1359   6  20   0.2753   0.5003   0.7836   0.0314   0.3418   0.2529   0.00    0.0
2281 489616   16.262306844  -61.527536865   -23.1424   6  19   0.2732   0.4977   0.7793   0.0301   0.3409   0.2516   0.00    0.0
2281 489617   16.262306852  -61.527536826   -23.1463   6  19   0.2711   0.4951   0.7750   0.0287   0.3401   0.2504   0.00    0.0
2281 489618   16.262306864  -61.527536765   -23.1518   6  19   0.2690   0.4926   0.7707   0.0273   0.3393   0.2491   0.00    0.0
